
==== Debug session start 2025-09-20T03:32:39.707006 ====
2025-09-20T03:36:54.848168 RAW CO22: dt=2.122s resp=ff86067140000200c1 val_raw=1649
2025-09-20T03:36:56.971158 RAW CO21: dt=2.146s resp=ff8605d04000020063 val_raw=1488
2025-09-20T03:36:56.993392 RAW CO22: dt=2.145s resp=ff86066a40000200c8 val_raw=1642
2025-09-20T03:36:58.967043 RAW CO21: dt=1.996s resp=ff8605db4000020058 val_raw=1499
2025-09-20T03:36:58.989703 RAW CO22: dt=1.996s resp=ff86067040000200c2 val_raw=1648
2025-09-20T03:37:00.969128 RAW CO21: dt=2.002s resp=ff8605d8400002005b val_raw=1496
2025-09-20T03:37:00.991443 RAW CO22: dt=2.002s resp=ff86066d40000200c5 val_raw=1645
2025-09-20T03:37:02.944193 RAW CO21: dt=1.975s resp=ff8605d6400002005d val_raw=1494
2025-09-20T03:37:02.967088 RAW CO22: dt=1.976s resp=ff86066840000200ca val_raw=1640
2025-09-20T03:37:05.093837 RAW CO21: dt=2.150s resp=ff8605da4000020059 val_raw=1498
2025-09-20T03:37:05.116281 RAW CO22: dt=2.149s resp=ff86067340000200bf val_raw=1651
2025-09-20T03:37:07.138148 RAW CO21: dt=2.044s resp=ff8605e8400002004b val_raw=1512
2025-09-20T03:37:07.160741 RAW CO22: dt=2.044s resp=ff86067640000200bc val_raw=1654
2025-09-20T03:37:09.370608 RAW CO21: dt=2.232s resp=ff86062d4000020005 val_raw=1581
2025-09-20T03:37:09.392940 RAW CO22: dt=2.232s resp=ff86067040000200c2 val_raw=1648
2025-09-20T03:37:11.655145 RAW CO21: dt=2.285s resp=ff86067c40000200b6 val_raw=1660
2025-09-20T03:37:11.676849 RAW CO22: dt=2.284s resp=ff86067440000200be val_raw=1652
2025-09-20T03:37:13.913718 RAW CO21: dt=2.259s resp=ff8606dc4000020056 val_raw=1756
2025-09-20T03:37:13.936062 RAW CO22: dt=2.259s resp=ff86067040000200c2 val_raw=1648
2025-09-20T03:37:16.038563 RAW CO21: dt=2.125s resp=ff86074540000200ec val_raw=1861
2025-09-20T03:37:16.061174 RAW CO22: dt=2.125s resp=ff86067a40000200b8 val_raw=1658
2025-09-20T03:37:18.163629 RAW CO21: dt=2.125s resp=ff8607bd4000020074 val_raw=1981
2025-09-20T03:37:18.186670 RAW CO22: dt=2.125s resp=ff86068040000200b2 val_raw=1664
