timestamp,elapsed_s,co2_1,co2_2
2025-09-20T03:51:11,573.515,3129.0,2127.0
2025-09-20T03:51:15,577.552,3166.0,2307.0
2025-09-20T03:51:19,581.894,3166.0,2530.0
2025-09-20T03:51:23,585.945,3166.0,2734.0
2025-09-20T03:51:27,589.940,3091.0,2895.0
2025-09-20T03:51:31,594.016,2928.0,2993.0
2025-09-20T03:51:36,598.338,2736.0,3067.0
2025-09-20T03:51:40,602.392,2531.0,3128.0
2025-09-20T03:51:44,606.528,2335.0,3147.0
2025-09-20T03:51:48,610.519,2151.0,3167.0
2025-09-20T03:51:52,614.775,1991.0,3167.0
2025-09-20T03:51:56,618.934,1883.0,3167.0
2025-09-20T03:52:00,622.915,1794.0,3112.0
2025-09-20T03:52:05,627.230,1720.0,2954.0
2025-09-20T03:52:09,631.413,1660.0,2770.0
2025-09-20T03:52:13,635.543,1596.0,2505.0
2025-09-20T03:52:17,639.576,1557.0,2224.0
2025-09-20T03:52:21,643.734,1531.0,2026.0
2025-09-20T03:52:25,648.065,1513.0,1913.0
2025-09-20T03:52:30,652.229,1501.0,1836.0
2025-09-20T03:52:34,656.442,1501.0,1784.0
2025-09-20T03:52:38,660.658,1496.0,1751.0
2025-09-20T03:52:42,664.874,1496.0,1728.0
2025-09-20T03:52:46,668.915,1490.0,1711.0
2025-09-20T03:53:17,2.804,1675.0,
2025-09-20T03:53:20,5.880,1675.0,
2025-09-20T03:53:23,9.103,1675.0,
2025-09-20T03:53:27,12.354,1681.5,
2025-09-20T03:53:30,15.416,1688.0,
2025-09-20T03:53:33,18.587,1688.0,
2025-09-20T03:53:36,21.854,1688.0,
2025-09-20T03:53:39,25.008,1688.0,
2025-09-20T03:53:42,28.123,1688.0,
2025-09-20T03:53:46,31.173,1688.0,
2025-09-20T03:53:49,34.444,1688.0,
2025-09-20T03:53:52,37.490,1688.0,
2025-09-20T03:53:55,40.659,1688.0,
2025-09-20T03:53:58,43.796,1688.0,
2025-09-20T03:54:01,46.861,1688.0,
2025-09-20T03:54:04,49.810,1694.0,
2025-09-20T03:54:07,52.908,1731.0,
2025-09-20T03:54:10,56.034,1820.0,
2025-09-20T03:54:13,59.047,1904.0,
2025-09-20T03:54:16,61.987,1960.0,
2025-09-20T03:54:19,64.956,2012.0,
2025-09-20T03:54:22,68.095,2111.0,
2025-09-20T03:54:26,71.220,2238.0,
2025-09-20T03:54:29,74.346,2327.0,
2025-09-20T03:54:32,77.470,2405.0,
2025-09-20T03:54:35,80.760,2458.0,
2025-09-20T03:54:38,83.984,2518.0,
2025-09-20T03:54:41,87.022,2572.0,
2025-09-20T03:54:45,90.171,2604.0,
2025-09-20T03:54:48,93.298,2604.0,
2025-09-20T03:54:51,96.417,2604.0,
2025-09-20T03:54:54,99.496,2604.0,
2025-09-20T03:54:57,102.499,2553.0,
2025-09-20T03:55:00,105.735,2548.0,
2025-09-20T03:55:03,108.700,2548.0,
2025-09-20T03:55:06,112.014,2537.0,
2025-09-20T03:55:09,115.012,2511.0,
2025-09-20T03:55:13,118.308,2503.0,
2025-09-20T03:55:16,121.597,2503.0,
2025-09-20T03:55:19,124.922,2503.0,
2025-09-20T03:55:22,128.023,2524.0,
2025-09-20T03:55:25,131.117,2549.0,
2025-09-20T03:55:29,134.343,2598.0,
2025-09-20T03:55:32,137.647,2660.0,
2025-09-20T03:55:35,140.804,2756.0,
2025-09-20T03:55:38,144.067,2920.0,
2025-09-20T03:55:41,147.081,3080.0,
2025-09-20T03:55:44,150.088,3282.0,
2025-09-20T03:55:47,153.065,3432.0,
2025-09-20T03:55:51,156.233,3555.0,
2025-09-20T03:55:54,159.483,3637.0,
2025-09-20T03:55:57,162.634,3703.0,
2025-09-20T03:56:00,165.758,3764.0,
2025-09-20T03:56:03,169.075,3780.0,
2025-09-20T03:56:07,172.158,3780.0,
2025-09-20T03:56:10,175.386,3780.0,
2025-09-20T03:56:13,178.670,3768.0,
2025-09-20T03:56:16,181.840,3742.0,
2025-09-20T03:56:19,184.828,3683.0,
2025-09-20T03:56:22,187.725,3596.0,
2025-09-20T03:56:25,190.651,3469.0,
2025-09-20T03:56:28,193.581,3278.0,
2025-09-20T03:56:31,196.460,3040.0,
2025-09-20T03:56:34,199.232,2792.0,
2025-09-20T03:56:37,202.159,2621.0,
2025-09-20T03:56:39,204.998,2386.0,
2025-09-20T03:56:42,207.867,2224.0,
2025-09-20T03:56:45,210.765,2091.0,
2025-09-20T03:56:48,213.640,2001.0,
2025-09-20T03:56:51,216.459,1939.0,
2025-09-20T03:56:54,219.392,1888.0,
2025-09-20T03:56:56,222.129,1867.0,
2025-09-20T03:56:59,224.913,1837.0,
2025-09-20T03:57:02,227.705,1818.0,
2025-09-20T03:57:05,230.535,1797.0,
2025-09-20T03:57:08,233.409,1786.0,
2025-09-20T03:57:11,236.160,1775.0,
2025-09-20T03:57:13,238.922,1768.0,
2025-09-20T03:57:16,241.838,1759.0,
2025-09-20T03:57:19,244.672,1759.0,
2025-09-20T03:57:22,247.544,1759.0,
2025-09-20T03:57:25,250.431,1759.0,
2025-09-20T03:57:28,253.245,1759.0,
2025-09-20T03:57:30,256.134,1759.0,
2025-09-20T03:57:33,258.932,1759.0,
2025-09-20T03:57:36,261.795,1759.0,
2025-09-20T03:57:39,264.665,1759.0,
2025-09-20T03:57:42,267.513,1759.0,
2025-09-20T03:57:45,270.327,1759.0,
2025-09-20T03:57:48,273.165,1759.0,
2025-09-20T03:57:50,276.110,1750.0,
2025-09-20T03:57:53,278.856,1750.0,
2025-09-20T03:57:56,281.771,1740.0,
2025-09-20T03:57:59,284.614,1740.0,
2025-09-20T03:58:02,287.392,1722.0,
2025-09-20T03:58:05,290.196,1722.0,
2025-09-20T03:58:07,292.962,1722.0,
2025-09-20T03:58:10,295.733,1722.0,
2025-09-20T03:58:13,298.649,1722.0,
2025-09-20T03:58:16,301.458,1722.0,
2025-09-20T03:58:19,304.255,1722.0,
2025-09-20T03:58:21,307.010,1713.0,
2025-09-20T03:58:24,309.846,1713.0,
2025-09-20T03:58:27,312.610,1708.0,
2025-09-20T03:58:30,315.413,1708.0,
2025-09-20T03:58:33,318.172,1708.0,
2025-09-20T03:58:35,320.935,1708.0,
2025-09-20T03:58:38,323.688,1708.0,
2025-09-20T03:58:41,326.427,1708.0,
2025-09-20T03:58:44,329.336,1708.0,
2025-09-20T03:58:47,332.195,1708.0,
2025-09-20T03:58:49,334.978,1713.0,
2025-09-20T03:58:53,338.145,1713.0,
2025-09-20T03:58:56,341.220,1713.0,
2025-09-20T03:58:59,344.276,1713.0,
2025-09-20T03:59:02,347.578,1705.0,
2025-09-20T03:59:05,350.553,1705.0,
2025-09-20T03:59:08,353.494,1705.0,
2025-09-20T03:59:11,356.743,1705.0,
2025-09-20T03:59:14,359.681,1705.0,
2025-09-20T03:59:17,362.875,1711.0,
2025-09-20T03:59:20,365.919,1711.0,
2025-09-20T03:59:23,368.915,1723.0,
2025-09-20T03:59:27,372.160,1733.0,
2025-09-20T03:59:29,375.114,1738.0,
2025-09-20T03:59:32,378.123,1738.0,
2025-09-20T03:59:36,381.292,1763.0,
2025-09-20T03:59:39,384.381,1787.0,
2025-09-20T03:59:42,387.521,1815.0,
2025-09-20T03:59:45,390.592,1849.0,
2025-09-20T03:59:48,393.697,1899.0,
2025-09-20T03:59:51,396.970,1965.0,
2025-09-20T03:59:54,399.943,2052.0,
2025-09-20T03:59:57,403.043,2208.0,
2025-09-20T04:00:01,406.197,2353.0,
2025-09-20T04:01:31,2.800,500.0,
2025-09-20T04:01:34,5.933,500.0,
2025-09-20T04:01:38,9.230,500.0,
2025-09-20T04:01:41,12.496,500.0,
2025-09-20T04:01:44,15.477,500.0,
2025-09-20T04:01:47,18.485,500.0,
2025-09-20T04:01:50,21.562,500.0,
2025-09-20T04:01:53,24.789,500.0,
2025-09-20T04:03:57,4.525,500.0,2522.0
2025-09-20T04:04:01,8.740,500.0,2495.0
2025-09-20T04:04:05,12.869,500.0,2468.0
2025-09-20T04:04:09,17.147,500.0,2448.5
2025-09-20T04:04:14,21.447,500.0,2429.0
2025-09-20T04:04:18,25.618,500.0,2395.0
2025-09-20T04:04:22,29.840,500.0,2350.0
2025-09-20T04:04:26,34.111,500.0,2324.0
2025-09-20T04:04:30,38.113,500.0,2296.0
2025-09-20T04:04:34,42.182,500.0,2288.0
2025-09-20T04:04:39,46.468,500.0,2276.0
2025-09-20T04:04:43,50.796,500.0,2265.0
2025-09-20T04:04:47,55.028,500.0,2259.0
2025-09-20T04:04:52,59.356,500.0,2246.0
2025-09-20T04:04:56,63.585,500.0,2230.0
2025-09-20T04:05:00,67.808,2165.0,2222.0
2025-09-20T04:05:04,72.134,2165.0,2193.0
2025-09-20T04:05:08,76.178,2165.0,2143.0
2025-09-20T04:05:23,3.503,2025.0,1967.0
2025-09-20T04:05:27,7.799,2069.5,1967.0
2025-09-20T04:05:31,11.838,2114.0,1967.0
2025-09-20T04:05:35,16.163,2163.0,1967.0
2025-09-20T04:05:40,20.444,2212.0,1967.0
2025-09-20T04:05:44,24.649,2291.0,1973.0
2025-09-20T04:05:48,28.876,2336.0,1973.0
2025-09-20T04:05:53,33.221,2380.0,1993.0
2025-09-20T04:05:57,37.553,2421.0,2017.0
2025-09-20T04:06:01,41.531,2437.0,2051.0
2025-09-20T04:06:05,45.704,2443.0,2103.0
2025-09-20T04:06:09,49.760,2443.0,2169.0
2025-09-20T04:06:13,54.008,2443.0,2262.0
2025-09-20T04:06:17,58.058,2437.0,2343.0
2025-09-20T04:06:22,62.239,2382.0,2400.0
2025-09-20T04:06:26,66.309,2309.0,2440.0
2025-09-20T04:06:30,70.369,2225.0,2469.0
2025-09-20T04:06:34,74.505,2144.0,2497.0
2025-09-20T04:06:38,78.615,2057.0,2506.0
2025-09-20T04:06:42,82.890,1995.0,2506.0
2025-09-20T04:06:46,87.075,1942.0,2506.0
2025-09-20T04:06:50,91.087,1900.0,2506.0
2025-09-20T04:06:55,95.358,1867.0,2468.0
2025-09-20T04:06:59,99.674,1841.0,2414.0
2025-09-20T04:07:03,103.924,1823.0,2326.0
2025-09-20T04:07:07,108.124,1795.0,2204.0
2025-09-20T04:07:12,112.426,1787.0,2094.0
2025-09-20T04:07:16,116.452,1787.0,2040.0
2025-09-20T04:07:20,120.431,1787.0,2006.0
2025-09-20T04:07:24,124.590,1787.0,1982.0
2025-09-20T04:07:28,128.881,1787.0,1973.0
2025-09-20T04:07:32,132.904,1787.0,1973.0
2025-09-20T04:07:37,137.220,1802.0,1973.0
2025-09-20T04:07:41,141.528,1802.0,1973.0
2025-09-20T04:07:45,145.819,1802.0,1964.0
2025-09-20T04:07:49,150.129,1807.0,1964.0
2025-09-20T04:07:54,154.306,1807.0,1958.0
2025-09-20T04:07:58,158.387,1807.0,1958.0
2025-09-20T04:08:02,162.518,1807.0,1958.0
2025-09-20T04:08:06,166.698,1807.0,1948.0
2025-09-20T04:08:10,171.056,1807.0,1942.0
2025-09-20T04:08:15,175.280,1807.0,1942.0
2025-09-20T04:08:19,179.461,1807.0,1942.0
2025-09-20T04:08:23,183.554,1807.0,1942.0
2025-09-20T04:08:27,187.909,1807.0,1942.0
2025-09-20T04:08:31,191.996,1807.0,1942.0
2025-09-20T04:08:35,196.003,1816.0,1942.0
2025-09-20T04:08:40,200.383,1816.0,1942.0
2025-09-20T04:08:44,204.524,1816.0,1942.0
2025-09-20T04:08:48,208.564,1816.0,1942.0
2025-09-20T04:08:52,212.712,1826.0,1947.0
2025-09-20T04:08:56,216.855,1834.0,1947.0
2025-09-20T04:09:01,221.239,1834.0,1947.0
2025-09-20T04:09:05,225.491,1834.0,1947.0
2025-09-20T04:09:09,229.602,1834.0,1947.0
2025-09-20T04:09:13,233.724,1834.0,1947.0
2025-09-20T04:09:17,237.748,1834.0,1947.0
2025-09-20T04:09:21,242.032,1834.0,1947.0
2025-09-20T04:09:25,246.099,1834.0,1947.0
2025-09-20T04:09:30,250.419,1828.0,1932.0
2025-09-20T04:09:34,254.416,1828.0,1932.0
2025-09-20T04:09:38,258.663,1828.0,1932.0
2025-09-20T04:09:42,262.942,1836.0,1926.0
2025-09-20T04:09:46,267.035,1881.0,1926.0
2025-09-20T04:09:51,271.281,1964.0,1926.0
2025-09-20T04:09:55,275.618,2070.0,1936.0
2025-09-20T04:09:59,279.852,2200.0,1942.0
2025-09-20T04:10:03,284.208,2273.0,1942.0
2025-09-20T04:10:08,288.446,2329.0,1960.0
2025-09-20T04:10:12,292.637,2390.0,1995.0
2025-09-20T04:10:16,296.906,2414.0,2031.0
2025-09-20T04:10:20,300.989,2423.0,2078.0
2025-09-20T04:10:25,305.315,2430.0,2154.0
2025-09-20T04:10:29,309.522,2430.0,2234.0
2025-09-20T04:10:33,313.789,2430.0,2345.0
2025-09-20T04:10:37,317.844,2415.0,2402.0
2025-09-20T04:10:41,322.158,2350.0,2438.0
2025-09-20T04:10:46,326.234,2269.0,2464.0
2025-09-20T04:10:50,330.459,2191.0,2496.0
2025-09-20T04:10:54,334.649,2115.0,2513.0
2025-09-20T04:10:58,338.660,2050.0,2513.0
2025-09-20T04:11:02,342.954,1982.0,2513.0
2025-09-20T04:11:06,347.115,1932.0,2513.0
2025-09-20T04:11:11,351.234,1878.0,2498.0
2025-09-20T04:11:15,355.574,1859.0,2460.0
2025-09-20T04:11:19,359.582,1845.0,2361.0
2025-09-20T04:11:23,363.687,1830.0,2250.0
2025-09-20T04:11:27,368.071,1830.0,2148.0
2025-09-20T04:11:31,372.159,1830.0,2071.0
2025-09-20T04:11:35,376.155,1819.0,2047.0
2025-09-20T04:11:40,380.487,1810.0,2014.0
2025-09-20T04:11:44,384.621,1821.0,2014.0
2025-09-20T04:11:48,388.985,1821.0,2006.0
2025-09-20T04:11:53,393.279,1807.0,2006.0
2025-09-20T04:11:57,397.340,1807.0,2006.0
2025-09-20T04:12:01,401.641,1819.0,1995.0
2025-09-20T04:12:05,405.708,1819.0,1988.0
2025-09-20T04:12:09,409.813,1839.0,1988.0
2025-09-20T04:12:13,413.954,1853.0,1988.0
2025-09-20T04:12:17,418.198,1866.0,1982.0
2025-09-20T04:12:22,422.319,1875.0,1982.0
2025-09-20T04:12:26,426.530,1875.0,1982.0
2025-09-20T04:12:30,430.712,1875.0,1982.0
2025-09-20T04:12:34,434.764,1875.0,1977.0
2025-09-20T04:12:38,438.977,1875.0,1977.0
2025-09-20T04:12:42,443.057,1881.0,1977.0
2025-09-20T04:12:47,447.393,1881.0,1977.0
2025-09-20T04:12:51,451.673,1881.0,1969.0
2025-09-20T04:12:55,456.022,1881.0,1969.0
2025-09-20T04:13:00,460.396,1881.0,1969.0
2025-09-20T04:13:04,464.457,1874.0,1969.0
2025-09-20T04:13:08,468.445,1874.0,1960.0
2025-09-20T04:13:12,472.521,1874.0,1960.0
2025-09-20T04:13:16,476.684,1874.0,1960.0
2025-09-20T04:13:20,480.962,1874.0,1960.0
2025-09-20T04:13:24,485.003,1874.0,1954.0
2025-09-20T04:13:28,489.113,1874.0,1954.0
2025-09-20T04:13:33,493.379,1864.0,1954.0
2025-09-20T04:13:37,497.582,1864.0,1946.0
2025-09-20T04:13:41,501.599,1864.0,1946.0
2025-09-20T04:13:45,505.900,1864.0,1946.0
2025-09-20T04:13:49,510.033,1883.0,1958.0
2025-09-20T04:13:53,514.148,1910.0,1958.0
2025-09-20T04:13:58,518.319,1910.0,1958.0
2025-09-20T04:14:02,522.542,1924.0,1958.0
2025-09-20T04:14:06,526.555,1962.0,1958.0
2025-09-20T04:14:10,530.723,1962.0,1958.0
2025-09-20T04:14:29,3.508,1242.0,1076.0
2025-09-20T04:14:34,7.602,1230.0,1064.5
2025-09-20T04:14:38,11.633,1218.0,1053.0
2025-09-20T04:14:42,15.660,1208.5,1043.0
2025-09-20T04:14:46,19.804,1199.0,1033.0
2025-09-20T04:14:50,24.082,1189.0,1020.0
2025-09-20T04:14:54,28.311,1174.0,1020.0
2025-09-20T04:14:58,32.335,1162.0,1006.0
2025-09-20T04:15:02,36.382,1162.0,999.0
2025-09-20T04:15:06,40.471,1162.0,999.0
2025-09-20T04:15:10,44.586,1156.0,999.0
2025-09-20T04:15:15,48.967,1156.0,999.0
2025-09-20T04:15:19,53.171,1156.0,991.0
2025-09-20T04:15:23,57.221,1146.0,991.0
2025-09-20T04:15:27,61.385,1146.0,991.0
2025-09-20T04:15:31,65.431,1146.0,983.0
2025-09-20T04:15:36,69.752,1146.0,983.0
2025-09-20T04:15:40,74.139,1146.0,983.0
2025-09-20T04:15:44,78.415,1131.0,977.0
2025-09-20T04:15:49,82.701,1131.0,977.0
2025-09-20T04:15:53,86.870,1131.0,977.0
2025-09-20T04:15:57,91.210,1131.0,977.0
2025-09-20T04:16:01,95.248,1124.0,977.0
2025-09-20T04:16:05,99.587,1124.0,971.0
2025-09-20T04:16:10,103.841,1124.0,971.0
2025-09-20T04:16:14,107.885,1124.0,971.0
2025-09-20T04:16:18,112.231,1119.0,971.0
2025-09-20T04:16:22,116.263,1126.0,971.0
2025-09-20T04:16:26,120.342,1131.0,971.0
2025-09-20T04:16:30,124.546,2652.0,971.0
2025-09-20T04:16:35,128.713,4138.0,980.0
2025-09-20T04:16:39,132.723,4593.0,980.0
2025-09-20T04:16:43,136.746,4593.0,990.0
2025-09-20T04:16:47,140.931,4593.0,990.0
2025-09-20T04:16:51,145.278,4496.0,990.0
2025-09-20T04:16:55,149.326,4245.0,990.0
2025-09-20T04:16:59,153.555,3967.0,990.0
2025-09-20T04:17:04,157.788,3729.0,990.0
2025-09-20T04:17:08,161.998,3463.0,990.0
2025-09-20T04:17:12,166.174,3154.0,985.0
2025-09-20T04:17:16,170.437,2930.0,985.0
2025-09-20T04:17:21,174.770,2760.0,985.0
2025-09-20T04:17:25,179.046,2593.0,985.0
2025-09-20T04:17:29,183.039,2433.0,978.0
2025-09-20T04:17:33,187.307,2262.0,978.0
2025-09-20T04:17:37,191.377,2124.0,971.0
2025-09-20T04:17:42,195.654,1999.0,971.0
2025-09-20T04:17:46,199.903,1908.0,971.0
2025-09-20T04:17:50,203.992,1834.0,971.0
2025-09-20T04:17:54,208.358,1760.0,971.0
2025-09-20T04:17:59,212.733,1685.0,964.0
